Sentence ID	Relation/Karak	Vibhakti	Frequency	Sentence_Example
35, 1	k2p		2	हस्तिनापुर पहुँचे लोगों के ठहरने के लिए धर्मशाला का भी प्रबंध मिलता है ।
36, 35, 15, 13, 1	rt	 के लिए	5	श्वेतांबर ट्रस्ट धर्मशाला में ठहरने के लिए 400 कमरे NULL और सुबह के नाश्ते , दोपहर के लंच और रात के भोजन की व्यवस्था होती है ।
50, 49, 47, 46, 45, 45, 44, 43, 42, 41, 40, 39, 37, 36, 35, 34, 33, 22, 21, 20, 19, 18, 15, 13, 12, 11, 10, 9, 4, 3, 2, 1	k1		32	यह संगमरमर मूर्ति इस क्षेत्र में कराई गई खुदाई के दौरान 16 अगस्त , 1956 को निकली थी ।
49, 48, 40, 36, 31, 23, 23, 21, 19, 12, 11, 10, 9, 8, 7, 6, 1	k7p	 में	17	तिजारा अतिशय क्षेत्र में चंद्र प्रभु भगवान की सफेद रंग की अत्यंत मनोहारी संगमरमर की मूर्ति स्थापित है ।
51, 51, 48, 46, 40, 40, 26, 25, 24, 24, 18, 18, 18, 11, 10, 10, 6, 1	nmod		18	बताते हैं कि तिजारा क्षेत्र के एक मशहूर वैद्य बिहारी लाल की पत्‍नी सरस्वती देवी ने तीन दिन का उपवास रखा था ।
4, 3, 2, 1	k5	 से	4	दिल्ली से हस्तिनापुर की दूरी तकरीबन 105 किलोमीटर है ।
51, 51, 47, 44, 32, 31, 30, 29, 28, 27, 24, 15, 15, 14, 6, 1	k2		16	बताते हैं कि तिजारा क्षेत्र के एक मशहूर वैद्य बिहारी लाल की पत्‍नी सरस्वती देवी ने तीन दिन का उपवास रखा था ।
33, 3, 2, 1	adv		4	लेकिन समय के साथ वे प्राचीन स्तम्भ और मंदिर धीरे - धीरे विलीन हो गए ।
51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1	rsym		49	बताते हैं कि तिजारा क्षेत्र के एक मशहूर वैद्य बिहारी लाल की पत्‍नी सरस्वती देवी ने तीन दिन का उपवास रखा था ।
2	r6	 तक की	1	कश्मीरी गेट से लगातार मेरठ तक की बसें जाती हैं ।
51, 49, 49, 49, 46, 31, 29, 27, 14, 14, 4, 3	r6	 की	12	बताते हैं कि तिजारा क्षेत्र के एक मशहूर वैद्य बिहारी लाल की पत्‍नी सरस्वती देवी ने तीन दिन का उपवास रखा था ।
